#,ST,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
1023,Oregon,Bachelor,"$10,171.34","$70,200.00",$65.00,1/0/00,Corporate Auto,Four-Door Car,$312.00
1024,Nevada,Bachelor,"$4,135.78",$0.00,$112.00,1/0/00,Special Auto,Four-Door Car,$707.98
1025,Oregon,College,"$5,511.49","$79,027.00",$70.00,1/0/00,Corporate Auto,Four-Door Car,$336.00
1026,Washington,High School or Below,"$11,314.24","$62,935.00",$141.00,1/0/00,Personal Auto,Sports Car,$232.24
1027,California,High School or Below,"$5,414.62","$26,893.00",$68.00,1/0/00,Personal Auto,Four-Door Car,$68.23
1028,Oregon,High School or Below,"$7,421.59","$47,406.00",$94.00,1/1/00,Personal Auto,Four-Door Car,$287.15
1029,California,Bachelor,"$4,458.11","$17,622.00",$65.00,1/1/00,Personal Auto,Four-Door Car,$312.00
1030,Oregon,College,"$14,476.12","$27,572.00",$124.00,1/0/00,Corporate Auto,SUV,$595.20
1031,Oregon,College,"$4,936.89",$0.00,$72.00,1/2/00,Personal Auto,Two-Door Car,$391.64
1032,Oregon,Bachelor,"$4,525.28","$32,802.00",$114.00,1/0/00,Personal Auto,SUV,$547.20
1033,Washington,Master,"$5,581.76","$62,739.00",$70.00,1/0/00,Personal Auto,Two-Door Car,$239.33
1034,California,Bachelor,"$14,134.35","$90,844.00",$118.00,1/0/00,Personal Auto,SUV,$232.67
1035,Nevada,High School or Below,"$24,723.18","$44,685.00",$69.00,1/0/00,Personal Auto,Four-Door Car,$331.20
1036,California,Bachelor,"$2,838.07",$0.00,$80.00,1/0/00,Personal Auto,Four-Door Car,$336.51
1037,California,High School or Below,"$3,848.48","$42,589.00",$98.00,1/0/00,Corporate Auto,Four-Door Car,$470.40
1038,Oregon,Bachelor,"$19,504.47",$0.00,$72.00,1/0/00,Personal Auto,Four-Door Car,$345.60
1039,Washington,Bachelor,"$2,480.05","$93,383.00",$62.00,1/0/00,Corporate Auto,Two-Door Car,$244.21
1040,Arizona,High School or Below,"$4,361.37","$79,583.00",$109.00,1/2/00,Personal Auto,Four-Door Car,$523.20
1041,Arizona,High School or Below,"$2,529.08","$89,129.00",$64.00,1/0/00,Personal Auto,Four-Door Car,$328.87
1042,Arizona,College,"$2,504.44",$0.00,$69.00,1/0/00,Personal Auto,Four-Door Car,$496.80
1043,Oregon,Bachelor,"$8,649.70","$94,389.00",$107.00,1/0/00,Corporate Auto,SUV,$85.06
1044,Oregon,College,"$13,668.36",$0.00,$197.00,1/0/00,Personal Auto,SUV,"$1,418.40"
1045,Oregon,High School or Below,"$20,635.08","$84,106.00",$64.00,1/0/00,Personal Auto,Two-Door Car,$334.41
1046,Arizona,College,"$2,517.53",$0.00,$69.00,1/0/00,Personal Auto,Four-Door Car,$42.10
1047,California,High School or Below,"$5,326.68","$76,717.00",$66.00,1/0/00,Personal Auto,Two-Door Car,$300.53
1048,Arizona,High School or Below,"$2,600.27","$51,978.00",$66.00,1/0/00,Corporate Auto,Four-Door Car,$144.78
1049,Oregon,Bachelor,"$8,534.79","$47,325.00",$107.00,1/0/00,Personal Auto,SUV,$64.60
1050,Oregon,High School or Below,"$8,828.84","$86,721.00",$111.00,1/0/00,Corporate Auto,SUV,$532.80
1051,Nevada,Bachelor,"$2,248.45","$24,910.00",$63.00,1/1/00,Personal Auto,Four-Door Car,$347.86
1052,Washington,Bachelor,"$12,302.76","$43,817.00",$62.00,1/1/00,Personal Auto,Four-Door Car,$245.45
1053,Oregon,High School or Below,"$4,556.59",$0.00,$73.00,1/2/00,Personal Auto,Four-Door Car,$525.60
1054,Oregon,Bachelor,"$2,530.71","$89,451.00",$63.00,1/0/00,Corporate Auto,Four-Door Car,$61.77
1055,California,College,"$5,251.98","$59,537.00",$66.00,1/0/00,Personal Auto,Two-Door Car,$316.80
1056,Oregon,High School or Below,"$6,743.12",$0.00,$199.00,1/0/00,Personal Auto,Luxury SUV,$955.20
1057,Oregon,College,"$14,014.72","$54,193.00",$117.00,1/0/00,Corporate Auto,SUV,$720.75
1058,Oregon,College,"$9,438.92","$86,946.00",$118.00,1/0/00,Personal Auto,Four-Door Car,$340.66
1059,California,Bachelor,"$10,506.77",$0.00,$92.00,1/0/00,Personal Auto,Four-Door Car,$546.52
1060,Arizona,High School or Below,"$4,213.92","$12,160.00",$109.00,1/0/00,Personal Auto,Four-Door Car,$489.41
1061,California,College,"$4,773.69","$33,701.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$171.33
1062,Washington,Bachelor,"$5,441.42","$85,702.00",$67.00,1/0/00,Personal Auto,Two-Door Car,$249.09
1063,California,Bachelor,"$2,842.27","$69,417.00",$73.00,1/1/00,Personal Auto,Four-Door Car,$30.87
1064,Oregon,Master,"$3,059.55","$38,644.00",$78.00,1/1/00,Personal Auto,Four-Door Car,$361.46
1065,California,High School or Below,"$20,315.00","$63,209.00",$102.00,1/2/00,Personal Auto,SUV,$207.32
1066,Arizona,Bachelor,"$3,239.12","$16,061.00",$88.00,1/0/00,Personal Auto,Four-Door Car,$633.60
1067,California,Master,"$4,626.80","$79,487.00",$114.00,1/0/00,Special Auto,SUV,$547.20
1068,California,College,"$8,997.04","$54,230.00",$112.00,1/0/00,Personal Auto,Two-Door Car,$537.60
1069,Arizona,Bachelor,"$3,239.12","$16,061.00",$88.00,1/0/00,Personal Auto,Four-Door Car,$633.60
1070,California,Master,"$4,626.80","$79,487.00",$114.00,1/0/00,Special Auto,SUV,$547.20
1071,California,College,"$8,997.04","$54,230.00",$112.00,1/0/00,Personal Auto,Two-Door Car,$537.60
1072,Oregon,College,"$25,807.06","$71,210.00",$214.00,1/1/00,Personal Auto,Luxury Car,"$1,027.20"
1073,Arizona,College,"$3,808.12","$94,903.00",$94.00,1/0/00,Corporate Auto,Two-Door Car,$451.20
1074,Arizona,Bachelor,"$7,614.14","$27,293.00",$96.00,1/0/00,Personal Auto,Two-Door Car,$469.03
1075,California,Master,"$6,898.46","$70,950.00",$171.00,1/0/00,Personal Auto,Sports Car,$565.93
1076,Oregon,College,"$2,298.38",$0.00,$63.00,1/0/00,Corporate Auto,Four-Door Car,$302.40
1077,Oregon,Doctor,"$2,806.70","$37,009.00",$71.00,1/0/00,Corporate Auto,Two-Door Car,$145.67
1078,Nevada,College,"$5,206.12","$52,629.00",$65.00,1/0/00,Personal Auto,Four-Door Car,$136.68
1079,California,Bachelor,"$45,708.65","$31,264.00",$198.00,1/1/00,Personal Auto,Luxury SUV,$825.66
1080,Oregon,College,"$8,007.35","$65,473.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$277.69
1081,Washington,Bachelor,"$5,482.55","$79,325.00",$68.00,1/0/00,Corporate Auto,Four-Door Car,$251.29
1082,Oregon,High School or Below,"$2,463.24","$99,144.00",$61.00,1/0/00,Corporate Auto,Four-Door Car,$292.80
1083,California,College,"$5,498.94","$22,520.00",$73.00,1/0/00,Corporate Auto,Four-Door Car,$350.40
1084,Arizona,Bachelor,"$5,243.83","$36,615.00",$65.00,1/0/00,Special Auto,Four-Door Car,$264.56
1085,Washington,Bachelor,"$3,280.46","$63,297.00",$82.00,1/0/00,Personal Auto,Four-Door Car,$251.76
1086,Arizona,High School or Below,"$4,886.54","$76,374.00",$61.00,1/0/00,Personal Auto,Four-Door Car,$292.80
1087,Washington,Bachelor,"$5,123.49","$72,096.00","$6,464.00",1/0/00,Personal Auto,Two-Door Car,$252.33
1088,Nevada,Master,"$5,479.56","$56,005.00",$68.00,1/1/00,Personal Auto,Four-Door Car,$326.40
1089,Washington,Master,"$4,762.16","$36,529.00",$118.00,1/0/00,Personal Auto,SUV,$255.01
1090,Oregon,Bachelor,"$8,287.68","$81,367.00",$103.00,1/0/00,Special Auto,SUV,$415.77
1091,California,Bachelor,"$9,886.66","$44,817.00",$83.00,1/0/00,Personal Auto,Four-Door Car,$527.42
1092,Oregon,High School or Below,"$2,712.92","$58,508.00",$69.00,1/0/00,Personal Auto,Two-Door Car,$57.61
1093,Oregon,Bachelor,"$10,477.68","$45,259.00",$138.00,1/0/00,Personal Auto,SUV,$272.22
1094,California,Doctor,"$3,436.13","$30,817.00",$88.00,1/0/00,Personal Auto,Four-Door Car,$91.83
1095,Oregon,High School or Below,"$2,596.19",$0.00,$72.00,1/0/00,Personal Auto,Two-Door Car,$345.60
1096,California,Doctor,"$12,731.95","$40,870.00",$105.00,1/0/00,Personal Auto,SUV,$504.00
1097,Nevada,High School or Below,"$3,494.15","$35,001.00",$96.00,1/3/00,Personal Auto,Four-Door Car,$460.80
1098,Arizona,College,"$7,597.91","$49,937.00",$64.00,1/0/00,Personal Auto,Two-Door Car,$302.59
1099,Oregon,Bachelor,"$4,015.21",$0.00,$109.00,1/0/00,Personal Auto,Four-Door Car,$523.20
1100,California,College,"$20,477.11","$58,317.00",$73.00,1/0/00,Personal Auto,Four-Door Car,$350.40
1101,California,High School or Below,"$8,160.69",$0.00,$109.00,1/0/00,Personal Auto,SUV,$523.20
1102,Nevada,High School or Below,"$12,298.69","$17,101.00",$113.00,1/0/00,Corporate Auto,SUV,$542.40
1103,California,College,"$8,714.92",$0.00,$118.00,1/0/00,Corporate Auto,SUV,$566.40
1104,Arizona,Bachelor,"$4,853.53",$0.00,$65.00,1/0/00,Personal Auto,Four-Door Car,$468.00
1105,Oregon,High School or Below,"$4,880.95","$24,398.00",$63.00,1/1/00,Personal Auto,Four-Door Car,$302.40
1106,Oregon,College,"$2,311.38","$24,641.00",$61.00,1/0/00,Corporate Auto,Four-Door Car,$294.93
1107,Arizona,High School or Below,"$4,327.10","$69,040.00",$108.00,1/0/00,Corporate Auto,Sports Car,$518.40
1108,Oregon,High School or Below,"$12,298.69","$17,101.00",$113.00,1/0/00,Personal Auto,SUV,$542.40
1109,California,High School or Below,"$8,323.53","$59,886.00",$104.00,1/0/00,Personal Auto,Sports Car,$71.73
1110,Oregon,Bachelor,"$10,179.72","$14,290.00",$271.00,1/0/00,Personal Auto,Luxury SUV,"$1,300.80"
1111,California,College,"$7,761.27","$43,137.00",$96.00,1/0/00,Personal Auto,Two-Door Car,$460.80
1112,Oregon,College,"$5,239.89","$27,978.00",$69.00,1/1/00,Personal Auto,Four-Door Car,$447.91
1113,California,Bachelor,"$4,517.91","$25,261.00",$118.00,1/0/00,Personal Auto,SUV,$566.40
1114,Nevada,College,"$2,389.77","$58,652.00",$64.00,1/5/00,Personal Auto,Four-Door Car,$307.20
1115,Nevada,College,"$4,130.63","$28,321.00",$111.00,1/0/00,Corporate Auto,SUV,$537.39
1116,Washington,College,"$2,691.57","$77,411.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$257.90
1117,Oregon,College,"$5,227.77",$0.00,$72.00,1/0/00,Corporate Auto,Four-Door Car,$518.40
1118,California,Bachelor,"$6,187.35",$0.00,$88.00,1/0/00,Personal Auto,Four-Door Car,$633.60
1119,Arizona,College,"$5,113.87","$94,415.00",$127.00,1/1/00,Personal Auto,Sports Car,$492.77
1120,Oregon,High School or Below,"$11,039.32",$0.00,$103.00,1/0/00,Special Auto,SUV,"$1,149.20"
1121,Arizona,Bachelor,"$32,227.08","$45,331.00",$100.00,1/0/00,Personal Auto,SUV,$572.64
1122,Arizona,High School or Below,"$2,611.97","$53,904.00",$67.00,1/2/00,Personal Auto,Four-Door Car,$321.60
1123,California,High School or Below,"$13,372.33",$0.00,$74.00,1/0/00,Personal Auto,Four-Door Car,$811.09
1124,Arizona,Bachelor,"$4,838.98",$0.00,$70.00,1/2/00,Special Auto,Four-Door Car,$336.00
1125,Oregon,High School or Below,"$4,721.66",$0.00,$67.00,1/0/00,Personal Auto,Four-Door Car,$482.40
1126,Oregon,College,"$3,873.65","$28,142.00",$105.00,1/0/00,Corporate Auto,Sports Car,$701.71
1127,Washington,Master,"$4,718.56","$15,680.00","$6,464.00",1/0/00,Personal Auto,Four-Door Car,$260.88
1128,Oregon,Bachelor,"$16,979.80","$35,095.00",$73.00,1/0/00,Personal Auto,Two-Door Car,$525.60
1129,Oregon,College,"$13,681.71","$55,588.00",$114.00,1/0/00,Personal Auto,SUV,$547.20
1130,Arizona,Master,"$5,717.22","$52,391.00",$71.00,1/0/00,Personal Auto,Two-Door Car,$409.76
1131,Oregon,Bachelor,"$9,486.60","$42,240.00",$79.00,1/0/00,Personal Auto,Four-Door Car,$46.39
1132,Oregon,Bachelor,"$3,839.14","$70,146.00",$96.00,1/0/00,Personal Auto,Four-Door Car,$157.44
1133,Oregon,College,"$11,211.59","$41,121.00",$94.00,1/0/00,Personal Auto,Four-Door Car,$451.20
1134,Oregon,College,"$25,807.06","$71,210.00",$214.00,1/1/00,Corporate Auto,Luxury Car,"$1,027.20"
1135,Oregon,Bachelor,"$3,798.32",$0.00,$107.00,1/1/00,Corporate Auto,Two-Door Car,"$1,261.94"
1136,Nevada,High School or Below,"$2,816.57","$41,228.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$340.80
1137,Washington,Bachelor,"$5,029.30","$40,113.00",$67.00,1/3/00,Corporate Auto,Two-Door Car,$262.05
1138,Oregon,College,"$3,444.97",$0.00,$91.00,1/0/00,Special Auto,Four-Door Car,$596.05
1139,California,Bachelor,"$2,859.41","$51,790.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$340.80
1140,California,High School or Below,"$2,692.06","$92,593.00",$68.00,1/0/00,Corporate Auto,Four-Door Car,$8.44
1141,California,High School or Below,"$11,431.73","$28,657.00",$100.00,1/0/00,Personal Auto,SUV,$588.74
1142,Oregon,High School or Below,"$7,635.88","$30,262.00",$98.00,1/1/00,Personal Auto,Four-Door Car,$499.23
1143,Oregon,Master,"$9,805.83","$47,197.00",$81.00,1/0/00,Corporate Auto,Four-Door Car,$76.11
1144,California,Bachelor,"$6,803.62",$0.00,$94.00,1/0/00,Personal Auto,Four-Door Car,$451.20
1145,Oregon,Bachelor,"$7,107.66",$0.00,$61.00,1/0/00,Personal Auto,Four-Door Car,$541.56
1146,Oregon,High School or Below,"$4,735.18",$0.00,$134.00,1/0/00,Personal Auto,SUV,$964.80
1147,Arizona,College,"$6,874.33","$22,093.00",$87.00,1/0/00,Corporate Auto,Two-Door Car,$616.75
1148,Arizona,College,"$2,411.26","$54,483.00",$61.00,1/0/00,Personal Auto,Two-Door Car,$292.80
1149,Arizona,College,"$2,416.54","$18,944.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$125.27
1150,Oregon,Bachelor,"$23,981.54","$84,365.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$316.80
1151,Arizona,College,"$4,692.17",$0.00,$64.00,1/0/00,Personal Auto,Four-Door Car,$137.17
1152,California,High School or Below,"$3,600.93","$25,147.00",$101.00,1/0/00,Corporate Auto,SUV,$694.60
1153,Nevada,High School or Below,"$2,665.22","$14,315.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$511.20
1154,Arizona,Master,"$7,666.52","$87,864.00",$94.00,1/0/00,Personal Auto,Two-Door Car,$421.46
1155,California,High School or Below,"$16,675.90","$57,844.00",$85.00,1/1/00,Personal Auto,Four-Door Car,$408.00
1156,Oregon,High School or Below,"$4,550.86","$17,913.00",$116.00,1/0/00,Personal Auto,Four-Door Car,$556.80
1157,Arizona,High School or Below,"$11,763.94","$28,806.00",$99.00,1/0/00,Special Auto,Four-Door Car,$475.20
1158,California,High School or Below,"$13,742.54","$90,343.00",$175.00,1/0/00,Personal Auto,SUV,$833.07
1159,Oregon,Master,"$16,138.42","$79,041.00",$199.00,1/0/00,Personal Auto,Luxury SUV,$419.26
1160,Washington,Bachelor,"$7,298.58","$74,069.00",$63.00,1/2/00,Personal Auto,Two-Door Car,$275.52
1161,California,College,"$6,673.74","$85,019.00",$167.00,1/0/00,Personal Auto,Sports Car,$801.60
1162,California,High School or Below,"$7,782.13","$70,059.00",$194.00,1/0/00,Personal Auto,Luxury SUV,$253.74
1163,California,College,"$19,393.21","$70,503.00",$164.00,1/1/00,Corporate Auto,SUV,$41.05
1164,California,Bachelor,"$3,974.14",$0.00,$117.00,1/0/00,Personal Auto,SUV,$561.60
1165,Oregon,Bachelor,"$4,105.58","$39,492.00",$105.00,1/0/00,Personal Auto,SUV,$756.00
1166,Arizona,College,"$2,308.47",$0.00,$68.00,1/0/00,Corporate Auto,Four-Door Car,$489.60
1167,Arizona,Bachelor,"$5,372.91","$50,405.00",$70.00,1/1/00,Personal Auto,Four-Door Car,$7.07
1168,Oregon,Doctor,"$5,508.32","$96,021.00",$68.00,1/0/00,Personal Auto,Two-Door Car,$315.00
1169,Oregon,High School or Below,"$2,398.33",$0.00,$65.00,1/0/00,Personal Auto,Two-Door Car,$422.95
1170,California,High School or Below,"$3,728.83",$0.00,$105.00,1/0/00,Personal Auto,Four-Door Car,$756.00
1171,Oregon,College,"$2,758.50","$65,794.00",$69.00,1/1/00,Personal Auto,Four-Door Car,$277.27
1172,Oregon,Bachelor,"$3,703.93","$21,975.00",$95.00,1/0/00,Corporate Auto,Four-Door Car,$456.00
1173,California,High School or Below,"$9,372.84",$0.00,$126.00,1/0/00,Personal Auto,SUV,$604.80
1174,Oregon,Bachelor,"$4,991.58","$56,649.00",$125.00,1/0/00,Special Auto,SUV,$780.09
1175,Washington,Master,"$5,039.87","$35,984.00",$128.00,1/3/00,Personal Auto,SUV,$275.58
1176,California,Bachelor,"$2,759.98","$92,296.00",$69.00,1/0/00,Corporate Auto,Two-Door Car,$331.20
1177,Oregon,Bachelor,"$7,993.00","$39,448.00",$103.00,1/3/00,Personal Auto,Four-Door Car,$66.02
1178,California,Bachelor,"$5,235.57","$71,794.00",$131.00,1/0/00,Personal Auto,SUV,$457.47
1179,California,High School or Below,"$2,633.01","$21,861.00",$69.00,1/0/00,Personal Auto,Four-Door Car,$348.28
1180,Oregon,College,"$2,764.80","$31,591.00",$72.00,1/4/00,Corporate Auto,Four-Door Car,$240.24
1181,Arizona,Bachelor,"$8,084.85","$60,662.00",$68.00,1/0/00,Special Auto,Two-Door Car,$326.40
1182,California,College,"$2,685.18","$20,608.00",$73.00,1/0/00,Personal Auto,Four-Door Car,$350.40
1183,California,Master,"$12,208.12","$21,331.00",$103.00,1/0/00,Personal Auto,SUV,$419.06
1184,Arizona,College,"$20,090.44",$0.00,$66.00,1/1/00,Corporate Auto,Four-Door Car,$252.15
1185,Washington,Master,"$5,133.41","$53,390.00","$6,464.00",1/0/00,Personal Auto,Four-Door Car,$279.00
1186,Oregon,Doctor,"$2,491.32","$36,631.00",$62.00,1/0/00,Corporate Auto,Four-Door Car,$67.53
1187,California,High School or Below,"$6,314.60",$0.00,$87.00,1/0/00,Personal Auto,Four-Door Car,$417.60
1188,Oregon,College,"$16,229.65","$26,030.00",$139.00,1/1/00,Corporate Auto,Sports Car,$667.20
1189,Nevada,College,"$5,161.79",$0.00,$70.00,1/0/00,Personal Auto,Four-Door Car,$469.49
1190,Nevada,Bachelor,"$3,982.27",$0.00,$113.00,1/0/00,Personal Auto,SUV,$542.40
1191,Arizona,Bachelor,"$13,473.19","$25,302.00",$70.00,1/1/00,Personal Auto,Four-Door Car,$336.00
1192,Washington,Master,"$2,778.32","$66,030.00",$69.00,1/1/00,Personal Auto,Four-Door Car,$282.15
1193,Oregon,High School or Below,"$8,276.44",$0.00,$82.00,1/0/00,Personal Auto,Four-Door Car,$590.40
1194,Arizona,Bachelor,"$14,349.86","$73,222.00",$180.00,1/0/00,Personal Auto,SUV,$821.52
1195,California,College,"$5,878.20","$22,061.00",$74.00,1/0/00,Personal Auto,Four-Door Car,$355.20
1196,Arizona,High School or Below,"$2,666.05","$86,321.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$316.80
1197,Oregon,Bachelor,"$5,345.68","$54,668.00",$68.00,1/1/00,Personal Auto,Four-Door Car,$326.40
1198,Arizona,High School or Below,"$4,777.12",$0.00,$62.00,1/0/00,Personal Auto,Four-Door Car,$297.60
1199,California,High School or Below,"$16,973.74","$69,497.00",$142.00,1/0/00,Personal Auto,SUV,$92.29
1200,Oregon,High School or Below,"$2,518.11","$86,617.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$188.33
1201,Nevada,Master,"$19,160.99","$22,705.00",$239.00,1/0/00,Personal Auto,Luxury SUV,"$1,294.70"
1202,Washington,High School or Below,"$32,864.40","$90,783.00",$104.00,1/2/00,Personal Auto,SUV,$285.75
1203,Oregon,Bachelor,"$3,964.81","$88,410.00",$99.00,1/0/00,Corporate Auto,Four-Door Car,$475.20
1204,California,Bachelor,"$4,911.77",$0.00,$69.00,1/0/00,Personal Auto,Four-Door Car,$496.80
1205,Oregon,College,"$7,805.31","$21,073.00",$106.00,1/1/00,Personal Auto,SUV,$508.80
1206,Arizona,College,"$7,200.66",$0.00,$66.00,1/0/00,Personal Auto,Four-Door Car,$316.80
1207,Oregon,College,"$5,389.50","$66,429.00",$136.00,1/0/00,Personal Auto,Sports Car,$57.71
1208,California,Doctor,"$3,241.31","$66,889.00",$80.00,1/0/00,Personal Auto,Four-Door Car,$294.32
1209,California,Bachelor,"$5,528.21","$36,088.00",$72.00,1/0/00,Corporate Auto,Four-Door Car,$345.60
1210,Washington,Master,"$2,993.02",$0.00,$80.00,1/0/00,Corporate Auto,Four-Door Car,$286.12
1211,Arizona,Bachelor,"$7,076.65",$0.00,$68.00,1/0/00,Corporate Auto,Two-Door Car,$489.60
1212,California,College,"$3,700.39","$17,557.00",$96.00,1/0/00,Personal Auto,Four-Door Car,$666.72
1213,California,College,"$5,328.84","$81,064.00",$70.00,1/4/00,Personal Auto,Two-Door Car,$42.24
1214,Nevada,High School or Below,"$4,838.88",$0.00,$66.00,1/0/00,Personal Auto,Four-Door Car,$700.33
1215,Washington,Master,"$3,417.21","$42,526.00",$86.00,1/0/00,Personal Auto,Two-Door Car,$287.54
1216,California,Doctor,"$7,879.93","$45,703.00",$98.00,1/0/00,Personal Auto,Two-Door Car,$470.40
1217,California,Bachelor,"$7,869.43","$40,036.00",$65.00,1/0/00,Personal Auto,Four-Door Car,$48.83
1218,California,Bachelor,"$2,586.81",$0.00,$71.00,1/0/00,Personal Auto,Four-Door Car,$191.64
1219,Arizona,High School or Below,"$7,286.79","$65,870.00",$61.00,1/1/00,Personal Auto,Four-Door Car,$202.85
1220,California,Bachelor,"$11,797.99","$91,469.00",$100.00,1/2/00,Personal Auto,SUV,$418.86
1221,California,High School or Below,"$9,386.75","$42,090.00",$119.00,1/0/00,Corporate Auto,SUV,$203.35
1222,Oregon,Doctor,"$6,308.92","$21,368.00",$79.00,1/0/00,Corporate Auto,Four-Door Car,$4.61
1223,Washington,Bachelor,"$8,609.16","$79,090.00",$107.00,1/0/00,Personal Auto,SUV,$289.04
1224,Oregon,Bachelor,"$15,428.01","$33,879.00",$98.00,1/0/00,Corporate Auto,Two-Door Car,$470.40
1225,Arizona,High School or Below,"$5,630.79","$72,874.00",$70.00,1/0/00,Special Auto,Four-Door Car,$336.00
1226,California,High School or Below,"$18,131.19",$0.00,$82.00,1/1/00,Personal Auto,Four-Door Car,$393.60
1227,California,Bachelor,"$8,087.22",$0.00,$110.00,1/0/00,Personal Auto,Two-Door Car,$550.83
1228,Arizona,College,"$18,453.58","$72,215.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$247.91
1229,California,Bachelor,"$5,217.51","$39,854.00",$66.00,1/0/00,Corporate Auto,Two-Door Car,$261.93
1230,Oregon,College,"$4,835.78","$36,655.00",$61.00,1/0/00,Personal Auto,Four-Door Car,$295.22
1231,Oregon,High School or Below,"$5,597.13","$37,995.00",$139.00,1/0/00,Personal Auto,SUV,$667.20
1232,California,High School or Below,"$8,920.46","$40,867.00",$112.00,1/0/00,Corporate Auto,Two-Door Car,$537.60
1233,Oregon,Bachelor,"$5,995.41","$28,804.00",$78.00,1/0/00,Personal Auto,Two-Door Car,$76.03
1234,California,High School or Below,"$38,496.95","$48,409.00",$124.00,1/0/00,Special Auto,SUV,$345.21
1235,California,High School or Below,"$8,382.63","$19,683.00",$117.00,1/1/00,Personal Auto,Sports Car,$561.60
1236,Washington,College,"$2,443.67","$92,834.00",$61.00,1/0/00,Special Auto,Four-Door Car,$292.80
1237,Washington,High School or Below,"$2,472.25","$62,006.00",$61.00,1/0/00,Personal Auto,Four-Door Car,$292.80
1238,California,High School or Below,"$5,405.52","$67,241.00",$68.00,1/1/00,Personal Auto,Two-Door Car,$5.67
1239,California,High School or Below,"$9,352.48","$75,436.00",$78.00,1/0/00,Personal Auto,Four-Door Car,$9.75
1240,Arizona,College,"$4,339.87","$91,761.00",$109.00,1/2/00,Personal Auto,SUV,$779.05
1241,California,College,"$17,723.76","$25,771.00",$222.00,1/0/00,Personal Auto,Luxury SUV,"$1,253.98"
1242,Oregon,College,"$7,507.46","$60,920.00",$64.00,1/0/00,Personal Auto,Two-Door Car,$231.20
1243,Washington,College,"$6,048.57",$0.00,$61.00,1/3/00,Corporate Auto,Four-Door Car,$292.80
1244,Washington,High School or Below,"$19,014.48","$29,822.00",$61.00,1/0/00,Personal Auto,Two-Door Car,$292.80
1245,Arizona,College,"$10,080.37","$60,944.00",$130.00,1/2/00,Personal Auto,SUV,$623.51
1246,California,High School or Below,"$6,503.40","$22,081.00",$84.00,1/0/00,Personal Auto,Two-Door Car,$451.67
1247,Washington,College,"$2,487.73","$67,282.00",$62.00,1/0/00,Personal Auto,Two-Door Car,$297.60
1248,California,College,"$4,620.39",$0.00,$130.00,1/0/00,Personal Auto,SUV,$936.00
1249,Arizona,High School or Below,"$2,471.53","$95,697.00",$61.00,1/0/00,Personal Auto,Two-Door Car,$114.27
1250,Oregon,College,"$6,494.24","$15,300.00",$85.00,1/0/00,Personal Auto,Four-Door Car,$408.00
1251,Washington,High School or Below,"$2,504.91","$88,264.00",$62.00,1/0/00,Personal Auto,Two-Door Car,$297.60
1252,Nevada,College,"$4,904.89","$12,902.00",$139.00,1/0/00,Personal Auto,Sports Car,$667.20
1253,Arizona,High School or Below,"$4,802.48","$29,809.00",$61.00,1/0/00,Personal Auto,Four-Door Car,$365.31
1254,Nevada,High School or Below,"$7,955.77",$0.00,$74.00,1/0/00,Personal Auto,Four-Door Car,$355.20
1255,Oregon,High School or Below,"$6,941.90",$0.00,$96.00,1/0/00,Personal Auto,Four-Door Car,$460.80
1256,Oregon,Bachelor,"$8,382.48","$25,998.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$791.88
1257,Oregon,Doctor,"$3,536.43","$28,248.00",$90.00,1/0/00,Personal Auto,Four-Door Car,$634.39
1258,California,College,"$3,244.82","$68,103.00",$82.00,1/0/00,Personal Auto,Two-Door Car,$277.80
1259,California,High School or Below,"$7,611.21",$0.00,$103.00,1/0/00,Special Auto,Four-Door Car,$741.60
1260,Oregon,Doctor,"$4,505.40","$81,079.00",$111.00,1/0/00,Special Auto,SUV,$134.22
1261,Nevada,Master,"$2,445.84","$22,732.00",$62.00,1/0/00,Personal Auto,Four-Door Car,$15.62
1262,Nevada,High School or Below,"$16,477.77","$49,825.00",$70.00,1/3/00,Corporate Auto,Two-Door Car,$336.00
1263,Oregon,College,"$3,546.40",$0.00,$103.00,1/0/00,Personal Auto,SUV,$621.96
1264,Nevada,High School or Below,"$4,277.27","$77,265.00",$107.00,1/0/00,Personal Auto,SUV,$513.60
1265,California,High School or Below,"$4,784.77",$0.00,$72.00,1/0/00,Corporate Auto,Four-Door Car,$779.63
1266,California,College,"$7,572.24","$12,876.00",$107.00,1/2/00,Corporate Auto,Four-Door Car,$425.96
1267,Arizona,Bachelor,"$11,760.88","$36,431.00",$99.00,1/0/00,Personal Auto,Two-Door Car,$513.25
1268,Oregon,High School or Below,"$3,933.81","$25,927.00",$103.00,1/0/00,Personal Auto,SUV,$674.97
